,country,year,pop,avh,rgdpe,gdp per capita,vacation days,productivity,gdp per vac days
0,Australia,1950,8.354106173,2170.923406,122176.4219,14624.715004804142,22.0,6.736633344310694,5553.473722727273
1,Australia,1951,8.599922573,2150.846928,114099.8125,13267.539507649006,22.0,6.16851870532044,5186.355113636364
2,Australia,1952,8.782429781,2130.956115,111393.7578,12683.706056038209,22.0,5.952119786398421,5063.352627272728
3,Australia,1953,8.950892266,2111.249251,123520.6563,13799.814882053011,22.0,6.536326715340069,5614.575286363636
4,Australia,1954,9.159148135,2091.724634,131680.6875,14376.95793965887,22.0,6.873255545193751,5985.485795454545
5,Australia,1955,9.374454313,2072.380578,136464.5313,14557.063989394901,22.0,7.024319830020576,6202.933240909091
6,Australia,1956,9.600318608,2053.215414,139459.375,14526.536117643815,22.0,7.0750180514881995,6339.0625
7,Australia,1957,9.814506913,2034.227488,139377.5313,14201.175111037388,22.0,6.981114548304338,6335.342331818182
8,Australia,1958,10.01933207,2015.41516,148823.7969,14853.664481848038,22.0,7.3700271669327115,6764.718040909091
9,Australia,1959,10.23806607,1996.776806,159669.5625,15595.67611776508,22.0,7.810425316891967,7257.707386363636
10,Australia,1960,10.47001892,1978.310818,161635.5156,15437.939208614154,22.0,7.803596415765116,7347.068890909091
11,Australia,1961,10.71005321,1974.661182,165718.0781,15473.133032174732,22.0,7.8358420032863805,7532.639913636364
12,Australia,1962,10.90826557,1971.018279,175465.75,16085.577388450032,22.0,8.161049321476147,7975.715909090909
13,Australia,1963,11.11694835,1967.382096,190395.4375,17126.591894258465,22.0,8.705269774020788,8654.338068181818
14,Australia,1964,11.3360447,1963.752621,198959.9219,17551.088335069813,22.0,8.93752509729677,9043.632813636363
15,Australia,1965,11.55944582,1960.129843,202160.3594,17488.758764734623,22.0,8.922245037587862,9189.107245454545
16,Australia,1966,11.77740791,1956.513747,215622.4844,18308.144376736625,22.0,9.357534239056193,9801.022018181817
17,Australia,1967,11.99686853,1952.904323,224374.7969,18702.78034129628,22.0,9.576905596975463,10198.854404545455
18,Australia,1968,12.228672,1949.301557,242520.6406,19832.132270781327,22.0,10.173968311656834,11023.665481818183
19,Australia,1969,12.50931111,1945.705438,261061.0156,20869.33591341466,22.0,10.725845498415397,11866.409800000001
20,Australia,1970,12.793034,1942.115953,269214.0313,21043.7986250955,22.0,10.83550062630864,12237.001422727271
21,Australia,1971,13.033133,1923.479433,277322.7813,21278.28982486406,22.0,11.062395292512628,12605.580968181817
22,Australia,1972,13.244171,1903.148684,290876.375,21962.595846882377,22.0,11.540136633319594,13221.65340909091
23,Australia,1973,13.431794,1889.80663,306236.6875,22799.388339338737,22.0,12.064402768731284,13919.849431818182
